Cluster,Size,Pct,Top_Permit,Top_Job,Residential%,Avg_Year,Processing_Days,Label
736,117,0.0%,Equipment Work,Alteration Type 2,0.0%,1992,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
737,52,0.0%,Equipment Work,Alteration Type 2,0.0%,2006,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
738,76,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
739,60,0.0%,Plumbing,Alteration Type 2,0.0%,2007,N/A,Specialized/Rare Commercial/Mixed - Plumbing
740,62,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
741,50,0.0%,Equipment Work,Alteration Type 2,0.0%,2007,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
742,67,0.0%,Equipment Work,Alteration Type 2,0.0%,1991,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
743,56,0.0%,Plumbing,Alteration Type 2,0.0%,2007,N/A,Specialized/Rare Commercial/Mixed - Plumbing
744,69,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
745,110,0.0%,Plumbing,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Plumbing
746,57,0.0%,Equipment,Alteration Type 3,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment
747,59,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
748,113,0.0%,Plumbing,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Plumbing
749,143,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
750,65,0.0%,Equipment Work,Alteration Type 2,0.0%,2008,N/A,Specialized/Rare Commercial/Mixed - Equipment Work
